测试时间:,20230328 14:53:36
波长(nm)/时间(s),499.49
392.000810873497,102.36561786545177
392.471537968622,102.36561786545177
392.942236580378,102.36561786545177
393.412906708739,102.36561786545177
393.883548353679,102.36561786545177
394.35416151517,102.36561786545177
394.824746193186,102.36561786545177
395.295302387701,102.36561786545177
395.765830098687,102.36561786545177
396.236329326118,102.36561786545177
396.706800069967,102.36561786545177
397.177242330208,102.36561786545177
397.647656106815,102.36561786545177
398.118041399759,102.36561786545177
398.588398209015,102.36561786545177
399.058726534556,102.36561786545177
399.529026376356,102.36561786545177
399.999297734387,102.36561786545177
400.469540608623,102.36561786545177
400.939754999037,102.36561786545177
401.409940905604,102.36561786545177
401.880098328295,102.36561786545177
402.350227267084,102.36561786545177
402.820327721946,102.36561786545177
403.290399692852,102.36561786545177
403.760443179777,102.36561786545177
404.230458182693,102.36561786545177
404.700444701575,102.36561786545177
405.170402736395,102.36561786545177
405.640332287126,102.36561786545177
406.110233353743,102.36561786545172
406.580105936218,102.41034749174415
407.049950034525,102.45668857886915
407.519765648636,102.50294317569089
407.989552778527,102.54812407059549
408.459311424169,102.5906839122327
408.929041585536,102.63126735026759
409.398743262601,102.66767714726996
409.868416455339,102.70111381236933
410.338061163721,102.73159951145905
410.807677387722,102.75823080639942
411.277265127314,102.78074478575753
411.746824382472,102.80021666361115
412.216355153168,102.8209495109584
412.685857439376,102.83943099571886
413.155331241069,102.85792971418945
413.624776558221,102.87598313842177
414.094193390804,102.89208145839027
414.563581738792,102.9088823833539
415.032941602159,102.92575175769325
415.502272980878,102.94550439329305
415.971575874921,102.96300877078015
416.440850284264,102.98383674194906
416.910096208878,103.00581354299902
417.379313648737,103.03115778714802
417.848502603815,103.05861172564845
418.317663074084,103.08839363850512
418.786795059519,103.11917812397968
419.255898560092,103.14888456678169
419.724973575777,103.17872450138164
420.194020106547,103.20662574554969
420.663038152376,103.23580589997448
421.132027713237,103.26215925866687
421.600988789102,103.28840317465549
422.069921379947,103.31298673018418
422.538825485743,103.33851654404276
423.007701106464,103.364624504736
423.476548242084,103.38931655092787
423.945366892576,103.41315935710317
424.414157057913,103.4353896512689
424.882918738068,103.45691580534817
425.351651933015,103.47364791512963
425.820356642728,103.49182724505087
426.289032867179,103.5070642088746
426.757680606342,103.524578320505
427.22629986019,103.54084218440637
427.694890628697,103.55690154050816
428.163452911836,103.57265111244487
428.63198670958,103.58685396116361
429.100492021902,103.59794692192571
429.568968848776,103.6070705604966
430.037417190176,103.61560836439263
430.505837046074,103.62175716011761
430.974228416444,103.6286018533145
431.44259130126,103.63380697096375
431.910925700494,103.63946642848694
432.37923161412,103.64599059912001
432.847509042111,103.65101631863128
433.315757984441,103.65567699642612
433.783978441083,103.65651487425431
434.25217041201,103.65797581168593
434.720333897195,103.65709038642488
435.188468896613,103.65857999350278
435.656575410236,103.65937027016025
436.124653438037,103.66308838604819
436.592702979991,103.66580469952157
437.06072403607,103.66967723439843
437.528716606247,103.67383418078283
437.996680690496,103.6795609137325
438.464616288791,103.68512636173803
438.932523401105,103.69159993545192
439.40040202741,103.70162222224499
439.868252167681,103.71080608707571
440.33607382189,103.72247873002993
440.803866990011,103.73412494826428
441.271631672018,103.74784441884823
441.739367867883,103.7624518802905
442.207075577581,103.77812978870408
442.674754801084,103.79507739521968
443.142405538365,103.81139120588895
443.610027789398,103.82736958487816
444.077621554157,103.84359209874096
444.545186832615,103.86100583917387
445.012723624744,103.87705333788931
445.480231930519,103.89576251737061
445.947711749912,103.91361861886759
446.415163082898,103.92985711985149
446.882585929449,103.94612944028289
447.349980289539,103.96357896257344
447.817346163141,103.98235852666488
448.284683550228,104.00143831474156
448.751992450774,104.02194914940729
449.219272864752,104.04123891414125
449.686524792135,104.06028584727085
450.153748232897,104.08040410304054
450.620943187011,104.10330165863738
451.088109654451,104.1246841417711
451.555247635189,104.14753364057248
452.0223571292,104.16891515084264
452.489438136455,104.19116903029119
452.95649065693,104.21292528364982
453.423514690597,104.2337248308531
453.890510237429,104.2573797081015
454.3574772974,104.28035198711852
454.824415870483,104.30473866701207
455.291325956651,104.32782411234697
455.758207555878,104.35162091217487
456.225060668138,104.37754337791873
456.691885293403,104.4043018407221
457.158681431646,104.43264056556738
457.625449082842,104.46202999343657
458.092188246963,104.49284332204768
458.558898923983,104.52396205970412
459.025581113875,104.55791869183511
459.492234816613,104.58963022615002
459.958860032169,104.62246700575457
460.425456760518,104.6556411824342
460.892025001632,104.68926620949634
461.358564755485,104.72223369089556
461.82507602205,104.75549269984724
462.291558801301,104.78958964796232
462.75801309321,104.82381819069167
463.224438897752,104.85782981659753
463.690836214899,104.89284027460515
464.157205044625,104.92818737606588
464.623545386903,104.96312994284537
465.089857241706,105.00062241247903
465.556140609009,105.03770940031679
466.022395488784,105.07599878404565
466.488621881004,105.1148080590028
466.954819785643,105.15551400291159
467.420989202674,105.1980521138014
467.887130132071,105.23954196488522
468.353242573807,105.28336407023421
468.819326527855,105.32706382376024
469.285381994188,105.37248117402328
469.751408972781,105.41743133576574
470.217407463605,105.46362252901423
470.683377466635,105.50889668601477
471.149318981844,105.55576803754944
471.615232009206,105.60281148661939
472.081116548693,105.65022364897155
472.546972600278,105.69920609471163
473.012800163937,105.74937438868163
473.47859923964,105.80180258886475
473.944369827363,105.85388804141924
474.410111927078,105.90684483599856
474.875825538758,105.96079088273486
475.341510662377,106.0167969707712
475.807167297909,106.07363141676208
476.272795445326,106.13165440003918
476.738395104603,106.19149513082164
477.203966275711,106.25116615936305
477.669508958625,106.31201575351302
478.135023153318,106.37228366465187
478.600508859764,106.43277159690103
479.065966077935,106.49271615403843
479.531394807805,106.5530130192933
479.996795049347,106.61205931522164
480.462166802535,106.6717780839037
480.927510067342,106.73149057125678
481.392824843741,106.79126860676135
481.858111131706,106.85086411871151
482.32336893121,106.90999917678765
482.788598242226,106.96866246001736
483.253799064728,107.02632825468741
483.718971398688,107.08361071333297
484.184115244082,107.13932704380485
484.64923060088,107.19547321569375
485.114317469058,107.25124872280374
485.579375848588,107.30763403434659
486.044405739444,107.3629074444916
486.509407141599,107.41807477366888
486.974380055027,107.47267954543567
487.439324479699,107.52691744659465
487.904240415591,107.58203552592269
488.369127862676,107.63638994472869
488.833986820926,107.69205475135483
489.298817290315,107.74580623058438
489.763619270817,107.80025290492392
490.228392762404,107.85438493702799
490.69313776505,107.90872132306242
491.157854278729,107.96422562007218
491.622542303413,108.02020191536528
492.087201839077,108.07681142439566
492.551832885693,108.13254506954624
493.016435443234,108.1879688555775
493.481009511675,108.24202865173939
493.945555090988,108.29636498992843
494.410072181147,108.34868270259874
494.874560782125,108.3999628731492
495.339020893895,108.44980610723974
495.803452516431,108.49820657707608
496.267855649707,108.54614916998212
496.732230293694,108.59286290228137
497.196576448368,108.63955576267726
497.6608941137,108.68495153366746
498.125183289665,108.72935194907657
498.589443976236,108.77117392256037
499.053676173386,108.8119805776764
499.517879881088,108.85152801107142
499.982055099316,108.89147382201787
500.446201828044,108.93023460283715
500.910320067244,108.96820202034976
501.374409816889,109.00503576087151
501.838471076954,109.04110569515585
502.302503847411,109.0771566639931
502.766508128234,109.1120580840332
503.230483919396,109.14697746644838
503.694431220871,109.1794385702307
504.158350032631,109.21013381508051
504.622240354651,109.23855359163281
505.086102186903,109.26622209319129
505.549935529361,109.29352093269559
506.013740381998,109.31958091357487
506.477516744788,109.3456118156125
506.941264617703,109.36947209991166
507.404984000718,109.39339538864394
507.868674893806,109.41680846943072
508.332337296939,109.44167794272283
508.795971210091,109.4646215809623
509.259576633236,109.4865740263568
509.723153566346,109.5076061623277
510.186702009396,109.52814626655675
510.650221962359,109.54939185284746
511.113713425207,109.570557390245
511.577176397915,109.59199436853606
512.040610880455,109.61339548995615
512.504016872801,109.63549623087336
512.967394374926,109.65684720198394
513.430743386804,109.67729314061431
513.894063908408,109.69755912620604
514.357355939711,109.71802164244868
514.820619480686,109.73647158569032
515.283854531308,109.75295722318215
515.747061091548,109.76834812604629
516.210239161382,109.78270767980938
516.673388740781,109.79646198156227
517.136509829719,109.80843401946714
517.59960242817,109.81971250508695
518.062666536107,109.82927938851506
518.525702153504,109.83890371602367
518.988709280333,109.84639353780743
519.451687916567,109.85179634536514
519.914638062182,109.8550143773695
520.377559717148,109.85638224320344
520.840452881441,109.85599061352524
521.303317555033,109.85363821888677
521.766153737898,109.85096834557329
522.228961430008,109.84703496226452
522.691740631338,109.84340384112083
523.154491341861,109.83893886230157
523.61721356155,109.83411935648728
524.079907290377,109.82784102462364
524.542572528318,109.82050920973663
525.005209275344,109.81174719407764
