测试时间:,20230311 16:59:02
波长(nm)/时间(s),0.0
392.000810873497,5.5104854726741594
392.471537968622,5.5104854726741594
392.942236580378,5.5104854726741594
393.412906708739,5.5104854726741594
393.883548353679,5.5104854726741594
394.35416151517,5.5104854726741594
394.824746193186,5.5104854726741594
395.295302387701,5.5104854726741594
395.765830098687,5.5104854726741594
396.236329326118,5.5104854726741594
396.706800069967,5.5104854726741594
397.177242330209,5.5104854726741594
397.647656106815,5.5104854726741594
398.118041399759,5.5104854726741594
398.588398209015,5.5104854726741594
399.058726534556,5.5104854726741594
399.529026376356,5.5104854726741594
399.999297734387,5.5104854726741594
400.469540608623,5.5104854726741594
400.939754999037,5.5104854726741594
401.409940905604,5.5104854726741594
401.880098328295,5.5104854726741594
402.350227267084,5.5104854726741594
402.820327721946,5.5104854726741594
403.290399692852,5.5104854726741594
403.760443179777,5.5104854726741594
404.230458182693,5.5104854726741594
404.700444701575,5.5104854726741594
405.170402736395,5.5104854726741594
405.640332287126,5.5104854726741594
406.110233353743,5.510485472674156
406.580105936218,5.503069587123047
407.049950034525,5.496112806787663
407.519765648636,5.488048287432118
407.989552778527,5.479787891409932
408.459311424169,5.473334947257461
408.929041585536,5.466211292824447
409.398743262601,5.459188412618984
409.868416455339,5.452295374263248
410.338061163721,5.4443831143422
410.807677387722,5.436999142656085
411.277265127314,5.426867272275034
411.746824382472,5.4157796023475075
412.216355153168,5.401737064693406
412.685857439376,5.386546275910959
413.155331241069,5.371003904881464
413.624776558221,5.353880902845361
414.094193390804,5.337258922154253
414.563581738792,5.320335856102081
415.032941602159,5.304038462761484
415.502272980878,5.2866872270629885
415.971575874921,5.269223966420599
416.440850284264,5.251226950568583
416.910096208878,5.232369743195466
417.379313648737,5.213527958666966
417.848502603815,5.193416894687883
418.317663074084,5.173879083129174
418.786795059519,5.153682513471002
419.255898560092,5.134627009934243
419.724973575777,5.115236808697788
420.194020106547,5.095174754427659
420.663038152376,5.075614652424544
421.132027713237,5.056207212254399
421.600988789102,5.036770671987473
422.069921379947,5.017262781539283
422.538825485743,4.998483963326979
423.007701106464,4.9803963199463475
423.476548242084,4.962470956246211
423.945366892576,4.94538437468313
424.414157057913,4.928761999458848
424.882918738068,4.913455098146321
425.351651933015,4.898866929827959
425.820356642728,4.885199335893097
